Filter1;Start1;End1;Filter2;Start2;End2;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;LucentOMS;2023-02-11T22:00:00Z;2023-02-12T02:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;Impact;2023-02-11T22:00:00Z;2023-02-12T03:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;UNEM;2023-02-11T22:00:00Z;2023-02-12T04:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;SCOM;2023-02-11T23:00:00Z;2023-02-12T05:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;SCADA;2023-02-12T00:00:00Z;2023-02-12T02:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;Zabbix;2023-02-12T00:00:00Z;2023-02-12T04:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;HA;2023-02-12T00:00:00Z;2023-02-12T07:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;C-NMS;2023-02-12T04:00:00Z;2023-02-12T06:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;Tivoli-ISM;2023-02-12T04:00:00Z;2023-02-12T06:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;SkyWalker;2023-02-12T04:00:00Z;2023-02-12T06:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;CA_Spectrum;2023-02-12T04:00:00Z;2023-02-12T06:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;Impact;2023-02-12T04:00:00Z;2023-02-12T06:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;LucentOMS;2023-02-12T04:00:00Z;2023-02-12T08:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;EML;2023-02-12T04:00:00Z;2023-02-12T08:00:00Z;;;
EMMA;2023-02-12T02:00:00Z;2023-02-12T04:00:00Z;SDH;2023-02-12T04:00:00Z;2023-02-12T08:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;LucentOMS;2023-02-18T21:00:00Z;2023-02-19T05:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;NFM-P;2023-02-18T22:00:00Z;2023-02-19T02:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;ADVA;2023-02-18T22:00:00Z;2023-02-19T02:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;SDH;2023-02-18T22:00:00Z;2023-02-19T02:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;EML;2023-02-18T22:00:00Z;2023-02-19T03:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;HA;2023-02-19T00:00:00Z;2023-02-19T02:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;SCOM;2023-02-19T00:00:00Z;2023-02-19T04:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;Zabbix;2023-02-19T00:00:00Z;2023-02-19T04:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;C-NMS;2023-02-19T01:00:00Z;2023-02-19T03:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;UNEM;2023-02-19T01:00:00Z;2023-02-19T03:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;NetAct;2023-02-19T01:00:00Z;2023-02-19T03:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;Stonebranch;2023-02-19T01:00:00Z;2023-02-19T05:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;SCADA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;;;
EMMA;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;CA_Spectrum;2023-02-19T02:00:00Z;2023-02-19T04:00:00Z;;;
