"Filter1","Start1","End1","Filter2","Start2","End2"
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"Zabbix",2024-02-28 12:00:00,2024-02-28 14:00:00
"EMMA",2024-02-28 11:00:00,2024-02-28 13:00:00,"C-NMS",2024-02-28 13:00:00,2024-02-28 16:00:00
"EMMA",2024-02-26 20:00:00,2024-02-26 22:00:00,"LucentOMS",2024-02-26 17:00:00,2024-02-26 20:00:00
"EMMA",2024-02-26 20:00:00,2024-02-26 22:00:00,"DICA",2024-02-26 19:00:00,2024-02-26 21:00:00
"EMMA",2024-02-26 20:00:00,2024-02-26 22:00:00,"SCOM",2024-02-26 19:00:00,2024-02-26 23:00:00
"EMMA",2024-02-26 20:00:00,2024-02-26 22:00:00,"Stonebranch",2024-02-26 20:00:00,2024-02-26 22:00:00
"EMMA",2024-02-22 18:00:00,2024-02-22 20:00:00,"Stonebranch",2024-02-22 15:00:00,2024-02-22 18:00:00
"EMMA",2024-02-22 18:00:00,2024-02-22 20:00:00,"SCADA",2024-02-22 16:00:00,2024-02-22 18:00:00
"EMMA",2024-02-22 18:00:00,2024-02-22 20:00:00,"DICA",2024-02-22 19:00:00,2024-02-22 21:00:00
"EMMA",2024-02-22 18:00:00,2024-02-22 20:00:00,"SCADA",2024-02-22 19:00:00,2024-02-22 21:00:00
"EMMA",2024-02-22 18:00:00,2024-02-22 20:00:00,"StruxureWare",2024-02-22 19:00:00,2024-02-22 21:00:00
"EMMA",2024-02-22 18:00:00,2024-02-22 20:00:00,"Stonebranch",2024-02-22 20:00:00,2024-02-22 22:00:00
"EMMA",2024-02-22 18:00:00,2024-02-22 20:00:00,"NetAct",2024-02-22 20:00:00,2024-02-22 22:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"CA_Spectrum",2024-02-21 14:00:00,2024-02-21 16:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"DICA",2024-02-21 14:00:00,2024-02-21 17:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"MileStone",2024-02-21 15:00:00,2024-02-21 17:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"EML",2024-02-21 15:00:00,2024-02-21 17:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"SDH",2024-02-21 15:00:00,2024-02-21 17:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"LucentOMS",2024-02-21 15:00:00,2024-02-21 18:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"UNEM",2024-02-21 15:00:00,2024-02-21 18:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"Zabbix",2024-02-21 16:00:00,2024-02-21 19:00:00
"EMMA",2024-02-21 15:00:00,2024-02-21 17:00:00,"SCOM",2024-02-21 17:00:00,2024-02-21 20:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"MileStone",2024-02-21 08:00:00,2024-02-21 12:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"LucentOMS",2024-02-21 09:00:00,2024-02-21 11:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"EML",2024-02-21 09:00:00,2024-02-21 11:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"SCOM",2024-02-21 09:00:00,2024-02-21 12:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"NetAct",2024-02-21 09:00:00,2024-02-21 12:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"CA_Spectrum",2024-02-21 09:00:00,2024-02-21 13:00:00
"EMMA",2024-02-21 10:00:00,2024-02-21 12:00:00,"Impact",2024-02-21 09:00:00,2024-02-21 14:00:00
